,Respondent,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,WebFrameWorkedWith,WebFrameDesireNextYear,DevEnviron
151,53.0,HTML/CSS,HTML/CSS,MySQL,MySQL,Docker,Docker,Spring,Spring,Visual Studio Code
157,54.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,DynamoDB,Docker,AWS,Django,Django,IntelliJ
158,54.0,HTML/CSS,HTML/CSS,Firebase,Elasticsearch,Linux,Google Cloud Platform,React.js,React.js,PyCharm
162,56.0,Bash/Shell/PowerShell,Java,MySQL,Cassandra,Heroku,AWS,Spring,Angular/Angular.js,IntelliJ
168,57.0,JavaScript,Elixir,Firebase,DynamoDB,Linux,AWS,React.js,React.js,Notepad++
174,60.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,Elasticsearch,AWS,AWS,Flask,Laravel,PHPStorm
175,60.0,Go,C++,Elasticsearch,MySQL,Docker,Docker,Laravel,Vue.js,Vim
176,60.0,JavaScript,Go,MariaDB,PostgreSQL,Kubernetes,Google Cloud Platform,React.js,Other(s):,Visual Studio Code
181,61.0,C++,Go,Firebase,PostgreSQL,Android,Arduino,ASP.NET,Laravel,Android Studio
190,62.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MariaDB,Android,Android,Django,ASP.NET,Atom
191,62.0,C++,C,Microsoft SQL Server,MySQL,Linux,Docker,jQuery,Django,NetBeans
192,62.0,Go,C++,MySQL,Oracle,MacOS,Google Cloud Platform,React.js,Laravel,Notepad++
203,67.0,C,C#,DynamoDB,Elasticsearch,AWS,Raspberry Pi,Angular/Angular.js,React.js,IntelliJ
212,68.0,HTML/CSS,Elixir,Elasticsearch,DynamoDB,AWS,Arduino,Express,Express,Vim
223,70.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Android,ASP.NET,Angular/Angular.js,Notepad++
229,71.0,HTML/CSS,C#,MariaDB,DynamoDB,Android,Android,Laravel,Angular/Angular.js,Visual Studio Code
236,74.0,HTML/CSS,Java,DynamoDB,DynamoDB,AWS,AWS,Flask,Flask,Atom
242,75.0,HTML/CSS,HTML/CSS,MongoDB,Elasticsearch,Heroku,AWS,Express,Express,Sublime Text
249,78.0,HTML/CSS,HTML/CSS,MongoDB,MongoDB,Android,Android,Express,Express,Android Studio
254,80.0,Bash/Shell/PowerShell,F#,MongoDB,Couchbase,Docker,Docker,Angular/Angular.js,ASP.NET,IntelliJ
255,80.0,C#,Go,Microsoft SQL Server,MariaDB,Kubernetes,Google Cloud Platform,ASP.NET,Flask,PyCharm
264,83.0,HTML/CSS,Elixir,DynamoDB,Cassandra,AWS,AWS,Express,Express,Sublime Text
265,83.0,JavaScript,Go,Elasticsearch,DynamoDB,Docker,Docker,React.js,React.js,Vim
278,86.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,Elasticsearch,Linux,Docker,Django,Django,Coda
279,86.0,C#,Go,MongoDB,MariaDB,Windows,Linux,Express,Flask,IPython / Jupyter
296,90.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,Elasticsearch,Android,Android,React.js,React.js,Android Studio
297,90.0,C#,C#,Firebase,MySQL,Docker,Docker,Ruby on Rails,Ruby on Rails,IntelliJ
314,94.0,C#,Assembly,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Android,ASP.NET,ASP.NET,Notepad++
328,97.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Other(s):,Other(s):,Linux,Linux,Flask,Flask,Atom
333,100.0,HTML/CSS,C,PostgreSQL,PostgreSQL,AWS,AWS,Express,Express,Vim
341,102.0,C#,C,Microsoft SQL Server,MongoDB,Microsoft Azure,AWS,ASP.NET,Angular/Angular.js,Notepad++
347,104.0,C#,TypeScript,Microsoft SQL Server,Couchbase,Windows,AWS,Angular/Angular.js,Angular/Angular.js,Notepad++
350,109.0,C#,C#,MongoDB,Elasticsearch,AWS,AWS,ASP.NET,ASP.NET,Notepad++
351,109.0,HTML/CSS,HTML/CSS,MySQL,MongoDB,Docker,Docker,jQuery,jQuery,Visual Studio
357,111.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Arduino,Android,ASP.NET,Angular/Angular.js,Visual Studio
364,114.0,Bash/Shell/PowerShell,JavaScript,MySQL,MongoDB,Docker,AWS,Laravel,Django,PHPStorm
365,114.0,C++,Python,Redis,Redis,Linux,Docker,Other(s):,Flask,Vim
370,115.0,Assembly,HTML/CSS,Firebase,Firebase,Android,Android,ASP.NET,Express,Android Studio
371,115.0,C#,Java,MongoDB,MongoDB,Arduino,Docker,jQuery,React.js,IntelliJ
379,116.0,Scala,Scala,Elasticsearch,Elasticsearch,AWS,AWS,Other(s):,Other(s):,Emacs
392,119.0,C,C,Firebase,Firebase,Android,Android,ASP.NET,Angular/Angular.js,Android Studio
409,124.0,HTML/CSS,Java,MySQL,MySQL,AWS,AWS,Spring,Spring,Eclipse
421,128.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,PostgreSQL,PostgreSQL,AWS,AWS,Ruby on Rails,Ruby on Rails,Atom
435,130.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,PostgreSQL,AWS,AWS,Django,Django,Emacs
436,130.0,C++,C#,PostgreSQL,Redis,Docker,Linux,Flask,Flask,IntelliJ
450,139.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MariaDB,Linux,Linux,ASP.NET,Angular/Angular.js,Notepad++
451,139.0,HTML/CSS,C#,MySQL,MySQL,Raspberry Pi,Raspberry Pi,jQuery,jQuery,PyCharm
467,144.0,Java,HTML/CSS,Oracle,Oracle,Windows,Docker,Spring,Spring,NetBeans
470,147.0,HTML/CSS,Kotlin,MySQL,MongoDB,AWS,AWS,Angular/Angular.js,Angular/Angular.js,IntelliJ
492,157.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,MongoDB,AWS,AWS,ASP.NET,ASP.NET,Notepad++
498,158.0,Java,Java,Oracle,Cassandra,Linux,Linux,Other(s):,Drupal,Eclipse
501,159.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Oracle,Elasticsearch,Docker,Android,Django,Django,IPython / Jupyter
502,159.0,HTML/CSS,Clojure,PostgreSQL,PostgreSQL,Linux,Arduino,React.js,React.js,Vim
514,164.0,C#,C#,Microsoft SQL Server,MongoDB,Raspberry Pi,Android,ASP.NET,ASP.NET,Notepad++
521,166.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,PostgreSQL,AWS,AWS,jQuery,React.js,Vim
529,173.0,HTML/CSS,JavaScript,Elasticsearch,Elasticsearch,AWS,AWS,Angular/Angular.js,Angular/Angular.js,PHPStorm
534,174.0,Bash/Shell/PowerShell,C,Firebase,Microsoft SQL Server,Android,Android,Angular/Angular.js,Django,Android Studio
535,174.0,C,C++,MongoDB,MySQL,Arduino,Arduino,ASP.NET,Flask,IPython / Jupyter
536,174.0,C++,HTML/CSS,Microsoft SQL Server,PostgreSQL,Docker,Docker,Django,jQuery,Visual Studio Code
543,176.0,C,C++,MongoDB,MongoDB,Android,Android,Angular/Angular.js,Angular/Angular.js,Atom
544,176.0,C++,HTML/CSS,Microsoft SQL Server,Microsoft SQL Server,AWS,AWS,Django,Django,Eclipse
545,176.0,C#,Java,Oracle,Oracle,Docker,Docker,Flask,Flask,IntelliJ
546,176.0,HTML/CSS,JavaScript,PostgreSQL,PostgreSQL,Linux,Linux,React.js,React.js,IPython / Jupyter
547,176.0,Java,Python,Redis,Redis,Windows,Windows,Vue.js,Vue.js,NetBeans
554,177.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Android,Android,ASP.NET,ASP.NET,PyCharm
558,179.0,HTML/CSS,C#,Firebase,Couchbase,Android,Android,React.js,React.js,Android Studio
586,188.0,C#,C++,Microsoft SQL Server,MongoDB,Windows,Linux,ASP.NET,ASP.NET,PyCharm
597,190.0,Java,HTML/CSS,Elasticsearch,Cassandra,AWS,AWS,Angular/Angular.js,Django,Atom
598,190.0,Scala,Python,Microsoft SQL Server,MongoDB,Linux,Linux,Spring,Spring,Eclipse
603,191.0,C#,Bash/Shell/PowerShell,Microsoft SQL Server,MongoDB,AWS,Linux,Angular/Angular.js,Angular/Angular.js,Vim
609,192.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Docker,Docker,Django,Django,Vim
610,192.0,JavaScript,Python,PostgreSQL,PostgreSQL,Google Cloud Platform,Google Cloud Platform,React.js,React.js,Visual Studio Code
622,196.0,C#,F#,Microsoft SQL Server,Elasticsearch,Windows,AWS,ASP.NET,React.js,Notepad++
627,201.0,Bash/Shell/PowerShell,Go,Microsoft SQL Server,Cassandra,Docker,Android,Django,Angular/Angular.js,IntelliJ
628,201.0,Go,HTML/CSS,MySQL,Firebase,Google Cloud Platform,AWS,Flask,Django,PyCharm
634,202.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,MongoDB,Google Cloud Platform,Docker,Angular/Angular.js,Angular/Angular.js,Sublime Text
661,212.0,C#,HTML/CSS,MariaDB,MariaDB,Android,Arduino,jQuery,jQuery,Android Studio
662,212.0,HTML/CSS,Java,MySQL,MySQL,Arduino,Docker,Other(s):,Other(s):,Atom
668,213.0,Go,Go,DynamoDB,DynamoDB,AWS,AWS,Django,Django,Notepad++
669,213.0,Python,JavaScript,MariaDB,Elasticsearch,Linux,Linux,Flask,Flask,PyCharm
678,217.0,Go,Go,MongoDB,MongoDB,Heroku,Android,jQuery,React.js,Atom
688,220.0,C#,C#,Microsoft SQL Server,MongoDB,Microsoft Azure,Android,ASP.NET,Angular/Angular.js,Visual Studio
689,220.0,HTML/CSS,HTML/CSS,Oracle,Microsoft SQL Server,Windows,AWS,jQuery,ASP.NET,Visual Studio Code
708,231.0,Elixir,Elixir,Elasticsearch,Elasticsearch,Google Cloud Platform,Google Cloud Platform,Ruby on Rails,Ruby on Rails,RubyMine
713,232.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,SQLite,Android,Android,ASP.NET,ASP.NET,Android Studio
714,232.0,C#,C#,SQLite,Other(s):,iOS,iOS,jQuery,jQuery,Notepad++
724,238.0,HTML/CSS,Go,MySQL,Elasticsearch,iOS,Android,jQuery,Express,PHPStorm
729,241.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,MongoDB,Microsoft Azure,Linux,jQuery,jQuery,Sublime Text
741,246.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Arduino,Angular/Angular.js,ASP.NET,IntelliJ
755,252.0,HTML/CSS,JavaScript,Microsoft SQL Server,PostgreSQL,AWS,AWS,Ruby on Rails,Ruby on Rails,Atom
760,253.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,PostgreSQL,AWS,AWS,React.js,jQuery,Vim
766,254.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Docker,Angular/Angular.js,Angular/Angular.js,Visual Studio
770,259.0,C#,C#,Microsoft SQL Server,Other(s):,AWS,Microsoft Azure,Angular/Angular.js,Angular/Angular.js,Coda
777,261.0,HTML/CSS,Swift,Firebase,Firebase,Android,Android,React.js,React.js,Android Studio
786,262.0,C++,JavaScript,Couchbase,Couchbase,Android,Arduino,Angular/Angular.js,Angular/Angular.js,Android Studio
797,268.0,C,Go,MySQL,Elasticsearch,AWS,AWS,Laravel,Django,PHPStorm
798,268.0,Java,Python,PostgreSQL,MySQL,Docker,Docker,Ruby on Rails,Laravel,Sublime Text
803,271.0,C#,C#,Microsoft SQL Server,Elasticsearch,Microsoft Azure,Android,Angular/Angular.js,Angular/Angular.js,Notepad++
804,271.0,JavaScript,Go,MySQL,Firebase,Windows,AWS,ASP.NET,ASP.NET,Visual Studio
811,273.0,Bash/Shell/PowerShell,Elixir,MongoDB,Other(s):,Docker,Google Cloud Platform,Angular/Angular.js,Other(s):,IntelliJ
820,275.0,C#,Assembly,DynamoDB,Cassandra,Android,Docker,Angular/Angular.js,Flask,Android Studio
830,276.0,HTML/CSS,Java,MySQL,Elasticsearch,AWS,AWS,React.js,React.js,IntelliJ
835,277.0,Bash/Shell/PowerShell,C++,MongoDB,MongoDB,Linux,Linux,Flask,Django,Visual Studio Code
839,279.0,HTML/CSS,Go,MySQL,MySQL,AWS,AWS,Django,Django,Notepad++
840,279.0,Java,HTML/CSS,PostgreSQL,PostgreSQL,Docker,Docker,Flask,Flask,PyCharm
841,279.0,JavaScript,Java,Redis,Redis,Kubernetes,Google Cloud Platform,Vue.js,Vue.js,Visual Studio Code
846,280.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Windows,Angular/Angular.js,Angular/Angular.js,Notepad++
856,285.0,C#,C#,Microsoft SQL Server,MongoDB,Windows,Android,Angular/Angular.js,Angular/Angular.js,Atom
857,285.0,HTML/CSS,F#,MySQL,Microsoft SQL Server,WordPress,Docker,ASP.NET,ASP.NET,Notepad++
862,286.0,Dart,HTML/CSS,DynamoDB,DynamoDB,AWS,AWS,Vue.js,React.js,Visual Studio Code
873,292.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,PostgreSQL,Google Cloud Platform,Docker,ASP.NET,Express,Visual Studio
881,293.0,HTML/CSS,Go,Firebase,Firebase,Docker,Android,Spring,Express,Android Studio
887,301.0,C++,Clojure,MongoDB,Firebase,AWS,Android,Angular/Angular.js,Express,Android Studio
888,301.0,C#,Elixir,Microsoft SQL Server,MongoDB,Docker,Arduino,ASP.NET,React.js,Emacs
895,302.0,Bash/Shell/PowerShell,C++,Elasticsearch,Redis,Docker,Docker,ASP.NET,React.js,Sublime Text
899,304.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Couchbase,DynamoDB,AWS,AWS,Vue.js,Vue.js,IPython / Jupyter
907,305.0,C#,C#,Microsoft SQL Server,Elasticsearch,Docker,Docker,ASP.NET,ASP.NET,IntelliJ
908,305.0,HTML/CSS,Dart,PostgreSQL,Microsoft SQL Server,Slack,Linux,jQuery,jQuery,Notepad++
918,306.0,C,HTML/CSS,PostgreSQL,PostgreSQL,AWS,AWS,Angular/Angular.js,Flask,PyCharm
924,308.0,HTML/CSS,HTML/CSS,PostgreSQL,SQLite,Heroku,AWS,Express,Express,Atom
928,310.0,C#,C#,MongoDB,Microsoft SQL Server,Android,Android,ASP.NET,ASP.NET,Notepad++
933,311.0,Assembly,C++,MongoDB,Cassandra,Arduino,Android,ASP.NET,Angular/Angular.js,NetBeans
934,311.0,C,Java,Microsoft SQL Server,Firebase,IBM Cloud or Watson,Arduino,Django,ASP.NET,Notepad++
935,311.0,C++,Python,MySQL,MongoDB,Linux,AWS,Express,Django,Visual Studio Code
944,312.0,Bash/Shell/PowerShell,Java,PostgreSQL,PostgreSQL,AWS,AWS,Ruby on Rails,Ruby on Rails,Atom
949,316.0,Bash/Shell/PowerShell,Java,Elasticsearch,Elasticsearch,Android,Android,Angular/Angular.js,Express,Android Studio
950,316.0,C++,Python,MariaDB,MySQL,AWS,Linux,Express,React.js,IntelliJ
956,317.0,Java,Java,PostgreSQL,Cassandra,Docker,AWS,Spring,Spring,IntelliJ
962,319.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Docker,AWS,Angular/Angular.js,Express,Coda
963,319.0,HTML/CSS,HTML/CSS,MongoDB,MongoDB,Heroku,Docker,Express,jQuery,Visual Studio Code
968,321.0,HTML/CSS,JavaScript,Elasticsearch,Elasticsearch,AWS,AWS,jQuery,jQuery,RubyMine
974,322.0,C#,Swift,Microsoft SQL Server,PostgreSQL,Android,AWS,ASP.NET,Django,Visual Studio
982,324.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Android,Android,Angular/Angular.js,Angular/Angular.js,Sublime Text
983,324.0,HTML/CSS,HTML/CSS,Oracle,Oracle,Windows,Windows,ASP.NET,ASP.NET,Visual Studio
987,326.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,Firebase,AWS,Google Cloud Platform,Angular/Angular.js,Flask,RStudio
988,326.0,HTML/CSS,Go,MySQL,MySQL,Linux,Linux,Flask,Vue.js,Sublime Text
997,328.0,HTML/CSS,Bash/Shell/PowerShell,MongoDB,Cassandra,Android,Android,Express,Express,Atom
1008,329.0,C,F#,Microsoft SQL Server,Microsoft SQL Server,iOS,Android,Angular/Angular.js,Angular/Angular.js,Visual Studio
1009,329.0,C++,JavaScript,MySQL,MySQL,Windows,iOS,ASP.NET,Express,Visual Studio Code
1018,330.0,Java,Java,Oracle,Elasticsearch,Android,Android,Laravel,Angular/Angular.js,Android Studio
1019,330.0,Kotlin,Kotlin,SQLite,SQLite,Docker,Docker,Ruby on Rails,Laravel,IntelliJ
1027,332.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,SQLite,Redis,iOS,iOS,React.js,React.js,Atom
1061,340.0,C#,C#,Microsoft SQL Server,MongoDB,Windows,Docker,ASP.NET,Angular/Angular.js,Vim
1068,345.0,Java,Java,MongoDB,DynamoDB,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Eclipse
1069,345.0,JavaScript,JavaScript,MySQL,Elasticsearch,Docker,Docker,Express,ASP.NET,Visual Studio Code
1079,352.0,HTML/CSS,Elixir,MySQL,MySQL,Heroku,Google Cloud Platform,React.js,React.js,Visual Studio Code
1084,354.0,HTML/CSS,Go,Elasticsearch,DynamoDB,Android,Android,Angular/Angular.js,Express,Android Studio
1085,354.0,Java,HTML/CSS,MySQL,Elasticsearch,Arduino,Arduino,Express,React.js,Notepad++
1086,354.0,JavaScript,JavaScript,Redis,MongoDB,AWS,AWS,jQuery,Vue.js,Visual Studio Code
1093,356.0,HTML/CSS,Go,MongoDB,Elasticsearch,Android,Android,Django,Django,PyCharm
1094,356.0,JavaScript,HTML/CSS,MySQL,MongoDB,AWS,AWS,jQuery,React.js,Visual Studio Code
1100,357.0,HTML/CSS,HTML/CSS,MongoDB,PostgreSQL,MacOS,MacOS,React.js,React.js,Vim
1111,372.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Elasticsearch,Linux,AWS,jQuery,Angular/Angular.js,NetBeans
1120,373.0,C#,Dart,Microsoft SQL Server,Firebase,Android,Android,ASP.NET,Spring,Android Studio
1125,374.0,HTML/CSS,JavaScript,PostgreSQL,Elasticsearch,AWS,AWS,Flask,Django,IPython / Jupyter
1133,375.0,Bash/Shell/PowerShell,Kotlin,MySQL,MySQL,Other(s):,Other(s):,Django,Django,Android Studio
1139,378.0,C#,C#,MariaDB,MariaDB,Android,Android,Angular/Angular.js,Angular/Angular.js,Visual Studio
1140,378.0,HTML/CSS,HTML/CSS,Microsoft SQL Server,MongoDB,iOS,Arduino,ASP.NET,ASP.NET,Visual Studio Code
1146,382.0,C#,HTML/CSS,MariaDB,MariaDB,MacOS,MacOS,jQuery,Angular/Angular.js,NetBeans
1164,388.0,C,C,MongoDB,MongoDB,AWS,AWS,Express,Express,Eclipse
1165,388.0,HTML/CSS,HTML/CSS,MySQL,MySQL,Google Cloud Platform,Google Cloud Platform,jQuery,jQuery,IntelliJ
1171,389.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,DynamoDB,iOS,Android,React.js,React.js,RubyMine
1176,392.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,MongoDB,Android,Android,ASP.NET,Angular/Angular.js,IPython / Jupyter
1177,392.0,C#,C#,MySQL,Microsoft SQL Server,Arduino,Arduino,Flask,ASP.NET,Notepad++
1178,392.0,HTML/CSS,F#,SQLite,MySQL,AWS,AWS,jQuery,Flask,PyCharm
1191,395.0,HTML/CSS,HTML/CSS,Elasticsearch,Elasticsearch,Android,Android,jQuery,jQuery,Android Studio
1192,395.0,Java,Java,MySQL,Firebase,Docker,AWS,React.js,React.js,IntelliJ
1230,406.0,HTML/CSS,HTML/CSS,MongoDB,Firebase,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
1231,406.0,Java,Java,MySQL,MongoDB,AWS,AWS,Laravel,Django,Sublime Text
1239,408.0,Assembly,Assembly,Couchbase,Elasticsearch,Android,Android,Angular/Angular.js,React.js,Android Studio
1256,410.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Docker,Arduino,ASP.NET,ASP.NET,Notepad++
1268,413.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,DynamoDB,AWS,AWS,jQuery,React.js,PHPStorm
1269,413.0,HTML/CSS,Go,MariaDB,Elasticsearch,Docker,Docker,Laravel,Other(s):,Vim
1281,416.0,C,C#,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,ASP.NET,ASP.NET,Notepad++
1282,416.0,C++,Go,PostgreSQL,PostgreSQL,Windows,Windows,Express,Express,Vim
1288,421.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,DynamoDB,AWS,Arduino,jQuery,React.js,Visual Studio Code
1300,426.0,Java,Java,MySQL,Cassandra,Android,Android,jQuery,jQuery,Android Studio
1305,427.0,C#,Bash/Shell/PowerShell,Microsoft SQL Server,Elasticsearch,Microsoft Azure,Docker,ASP.NET,ASP.NET,Notepad++
1306,427.0,HTML/CSS,C#,Redis,MongoDB,Slack,Kubernetes,jQuery,React.js,Visual Studio
1312,428.0,Bash/Shell/PowerShell,Java,Oracle,PostgreSQL,Linux,AWS,Spring,Spring,IntelliJ
1320,432.0,HTML/CSS,HTML/CSS,DynamoDB,MariaDB,Android,AWS,Angular/Angular.js,Angular/Angular.js,Eclipse
1321,432.0,Java,JavaScript,Elasticsearch,MySQL,Arduino,Linux,Express,Express,Notepad++
1327,434.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,AWS,Microsoft Azure,ASP.NET,ASP.NET,Sublime Text
1337,435.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,Cassandra,Docker,AWS,ASP.NET,ASP.NET,Atom
1338,435.0,C#,C#,Microsoft SQL Server,DynamoDB,iOS,Docker,Express,Express,Sublime Text
1339,435.0,HTML/CSS,Clojure,MySQL,Elasticsearch,Linux,Heroku,React.js,React.js,Visual Studio
1350,436.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Couchbase,Android,Android,jQuery,Laravel,Android Studio
1351,436.0,HTML/CSS,Go,MySQL,MySQL,AWS,Arduino,Laravel,React.js,Atom
1352,436.0,Java,HTML/CSS,Redis,Oracle,Docker,Docker,React.js,Vue.js,Sublime Text
1381,447.0,Bash/Shell/PowerShell,F#,MySQL,Cassandra,Arduino,Arduino,Django,Spring,IntelliJ
1397,453.0,C++,C#,MongoDB,Microsoft SQL Server,Android,Android,ASP.NET,ASP.NET,Notepad++
1403,460.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,Elasticsearch,AWS,AWS,Django,ASP.NET,IntelliJ
1404,460.0,C#,C#,MySQL,MariaDB,Docker,Docker,Laravel,Django,PHPStorm
1405,460.0,HTML/CSS,Go,PostgreSQL,SQLite,Heroku,Heroku,React.js,Laravel,PyCharm
1412,462.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Docker,AWS,Flask,Flask,Notepad++
1413,462.0,C#,C#,MySQL,PostgreSQL,Google Cloud Platform,Docker,jQuery,jQuery,Visual Studio
1414,462.0,HTML/CSS,HTML/CSS,PostgreSQL,SQLite,Heroku,Linux,Spring,Spring,Visual Studio Code
1420,463.0,HTML/CSS,HTML/CSS,Firebase,Firebase,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
1421,463.0,Java,Java,MongoDB,MongoDB,Arduino,Arduino,Express,Express,Atom
1422,463.0,JavaScript,JavaScript,MySQL,MySQL,Linux,Google Cloud Platform,jQuery,jQuery,Eclipse
1423,463.0,PHP,Kotlin,SQLite,SQLite,MacOS,Linux,React.js,Laravel,IntelliJ
1435,467.0,Java,Kotlin,PostgreSQL,PostgreSQL,AWS,Docker,Spring,Django,IntelliJ
